Year,Date,StatWeek,CdnCommCt
2017,5/14/2017,20,0
2017,5/15/2017,20,0
2017,5/16/2017,20,0
2017,5/17/2017,20,0
2017,5/18/2017,20,0
2017,5/19/2017,20,0
2017,5/20/2017,20,0
2017,5/21/2017,21,0
2017,5/22/2017,21,0
2017,5/23/2017,21,0
2017,5/24/2017,21,0
2017,5/25/2017,21,0
2017,5/26/2017,21,0
2017,5/27/2017,21,0
2017,5/28/2017,22,0
2017,5/29/2017,22,0
2017,5/30/2017,22,0
2017,5/31/2017,22,0
2017,6/1/2017,22,0
2017,6/2/2017,22,0
2017,6/3/2017,22,0
2017,6/4/2017,23,0
2017,6/5/2017,23,0
2017,6/6/2017,23,0
2017,6/7/2017,23,0
2017,6/8/2017,23,0
2017,6/9/2017,23,0
2017,6/10/2017,23,0
2017,6/11/2017,24,0
2017,6/12/2017,24,0
2017,6/13/2017,24,0
2017,6/14/2017,24,0
2017,6/15/2017,24,0
2017,6/16/2017,24,0
2017,6/17/2017,24,0
2017,6/18/2017,25,0
2017,6/19/2017,25,0
2017,6/20/2017,25,0
2017,6/21/2017,25,0
2017,6/22/2017,25,0
2017,6/23/2017,25,0
2017,6/24/2017,25,0
2017,6/25/2017,26,0
2017,6/26/2017,26,0
2017,6/27/2017,26,278
2017,6/28/2017,26,244
2017,6/29/2017,26,0
2017,6/30/2017,26,0
2017,7/1/2017,26,0
2017,7/2/2017,27,267
2017,7/3/2017,27,169
2017,7/4/2017,27,0
2017,7/5/2017,27,0
2017,7/6/2017,27,0
2017,7/7/2017,27,0
2017,7/8/2017,27,0
2017,7/9/2017,28,551
2017,7/10/2017,28,188
2017,7/11/2017,28,7
2017,7/12/2017,28,392
2017,7/13/2017,28,0
2017,7/14/2017,28,0
2017,7/15/2017,28,0
2017,7/16/2017,29,186
2017,7/17/2017,29,294
2017,7/18/2017,29,327
2017,7/19/2017,29,0
2017,7/20/2017,29,0
2017,7/21/2017,29,0
2017,7/22/2017,29,0
2017,7/23/2017,30,1193
2017,7/24/2017,30,1424
2017,7/25/2017,30,1141
2017,7/26/2017,30,1632
2017,7/27/2017,30,0
2017,7/28/2017,30,0
2017,7/29/2017,30,0
2017,7/30/2017,31,1011
2017,7/31/2017,31,1657
2017,8/1/2017,31,1642
2017,8/2/2017,31,1100
2017,8/3/2017,31,0
2017,8/4/2017,31,0
2017,8/5/2017,31,0
2017,8/6/2017,32,984
2017,8/7/2017,32,836
2017,8/8/2017,32,1521
2017,8/9/2017,32,0
2017,8/10/2017,32,0
2017,8/11/2017,32,0
2017,8/12/2017,32,0
2017,8/13/2017,33,1215
2017,8/14/2017,33,827
2017,8/15/2017,33,1245
2017,8/16/2017,33,0
2017,8/17/2017,33,0
2017,8/18/2017,33,0
2017,8/19/2017,33,0
2017,8/20/2017,34,1116
2017,8/21/2017,34,847
2017,8/22/2017,34,620
2017,8/23/2017,34,0
2017,8/24/2017,34,0
2017,8/25/2017,34,0
2017,8/26/2017,34,0
2017,8/27/2017,35,836
2017,8/28/2017,35,1675
2017,8/29/2017,35,1588
2017,8/30/2017,35,612
2017,8/31/2017,35,0
2017,9/1/2017,35,0
2017,9/2/2017,35,0
2017,9/3/2017,36,832
2017,9/4/2017,36,488
2017,9/5/2017,36,0
2017,9/6/2017,36,0
2017,9/7/2017,36,0
2017,9/8/2017,36,0
2017,9/9/2017,36,0
2017,9/10/2017,37,287
2017,9/11/2017,37,488
2017,9/12/2017,37,489
2017,9/13/2017,37,0
2017,9/14/2017,37,0
2017,9/15/2017,37,0
2017,9/16/2017,37,0
2017,9/17/2017,38,0
2017,9/18/2017,38,0
2017,9/19/2017,38,0
2017,9/20/2017,38,0
2017,9/21/2017,38,0
2017,9/22/2017,38,0
2017,9/23/2017,38,0
2017,9/24/2017,39,0
2017,9/25/2017,39,0
2017,9/26/2017,39,0
2017,9/27/2017,39,0
2017,9/28/2017,39,0
2017,9/29/2017,39,0
2017,9/30/2017,39,0
2017,10/1/2017,40,0
2017,10/2/2017,40,0
2017,10/3/2017,40,0
2017,10/4/2017,40,0
2017,10/5/2017,40,0
2017,10/6/2017,40,0
2017,10/7/2017,40,0
