spaghetti_tag_number,release_date,stat_week_release,FW,comments
70001,6/6/2017,23,FW1,Radio Tagged
70002,6/13/2017,24,FW1,
70003,6/13/2017,24,FW1,
70004,6/14/2017,24,FW1,
70005,6/14/2017,24,FW1,
70006,6/15/2017,24,FW1,
70007,6/15/2017,24,FW1,
70008,6/16/2017,24,FW1,
70009,6/16/2017,24,FW1,
70010,6/16/2017,24,FW1,
70011,6/16/2017,24,FW1,
70012,6/16/2017,24,FW1,
70013,6/16/2017,24,FW1,
70014,6/16/2017,24,FW1,
70015,6/16/2017,24,FW1,
70016,6/16/2017,24,FW1,
70017,6/16/2017,24,FW1,Radio Tagged
70018,6/16/2017,24,FW1,
70019,6/16/2017,24,FW1,
70020,6/16/2017,24,FW1,
70021,6/16/2017,24,FW1,
70022,6/16/2017,24,FW1,
70023,6/17/2017,24,FW1,
70024,6/17/2017,24,FW1,
70025,6/17/2017,24,FW1,
70026,6/17/2017,24,FW1,
70027,6/17/2017,24,FW1,
70028,6/17/2017,24,FW1,
70029,6/17/2017,24,FW1,
70030,6/17/2017,24,FW1,Skipped
70031,6/17/2017,24,FW1,
70032,6/17/2017,24,FW1,
70033,6/17/2017,24,FW1,
70034,6/17/2017,24,FW1,
70035,6/17/2017,24,FW1,
70036,6/17/2017,24,FW1,
70037,6/17/2017,24,FW1,
70038,6/17/2017,24,FW1,Radio Tagged
70039,6/18/2017,25,FW1,
70040,6/18/2017,25,FW1,
70041,6/18/2017,25,FW1,
70042,6/18/2017,25,FW1,
70043,6/18/2017,25,FW1,
70044,6/18/2017,25,FW1,
70045,6/18/2017,25,FW1,
70046,6/18/2017,25,FW1,
70048,6/18/2017,25,FW1,
70049,6/18/2017,25,FW1,
70050,6/18/2017,25,FW1,
70051,6/18/2017,25,FW1,
70052,6/18/2017,25,FW1,
70053,6/18/2017,25,FW1,
70054,6/19/2017,25,FW1,
70055,6/19/2017,25,FW1,
70056,6/19/2017,25,FW1,
70057,6/19/2017,25,FW1,
70058,6/19/2017,25,FW1,
70059,6/19/2017,25,FW1,
70060,6/19/2017,25,FW1,
70061,6/19/2017,25,FW1,
70062,6/19/2017,25,FW1,
70063,6/19/2017,25,FW1,
70064,6/19/2017,25,FW1,
70065,6/19/2017,25,FW1,
70066,6/19/2017,25,FW1,
70067,6/19/2017,25,FW1,
70068,6/19/2017,25,FW1,
70069,6/19/2017,25,FW1,
70070,6/19/2017,25,FW1,
70071,6/19/2017,25,FW1,
70072,6/19/2017,25,FW1,
70073,6/19/2017,25,FW1,
70074,6/19/2017,25,FW1,Radio Tagged
70075,6/19/2017,25,FW1,
70076,6/19/2017,25,FW1,
70077,6/19/2017,25,FW1,
70078,6/20/2017,25,FW1,
70079,6/20/2017,25,FW1,
70080,6/20/2017,25,FW1,
70081,6/20/2017,25,FW1,
70082,6/20/2017,25,FW1,
70083,6/20/2017,25,FW1,
70084,6/20/2017,25,FW1,
70085,6/20/2017,25,FW1,
70086,6/20/2017,25,FW1,
70087,6/20/2017,25,FW1,
70088,6/20/2017,25,FW1,
70089,6/20/2017,25,FW1,
70090,6/20/2017,25,FW1,
70091,6/20/2017,25,FW1,
70092,6/20/2017,25,FW1,
70093,6/20/2017,25,FW1,
70094,6/20/2017,25,FW1,
70095,6/20/2017,25,FW1,
70096,6/20/2017,25,FW1,
70097,6/20/2017,25,FW1,
70098,6/20/2017,25,FW1,
70099,6/20/2017,25,FW1,
70100,6/20/2017,25,FW1,
70101,6/20/2017,25,FW1,
70102,6/20/2017,25,FW1,
70103,6/20/2017,25,FW1,
70104,6/20/2017,25,FW1,
70105,6/21/2017,25,FW1,Radio Tagged
70106,6/21/2017,25,FW1,
70107,6/21/2017,25,FW1,
70108,6/21/2017,25,FW1,
70109,6/21/2017,25,FW1,
70110,6/21/2017,25,FW1,
70111,6/21/2017,25,FW1,
70112,6/21/2017,25,FW1,
70113,6/21/2017,25,FW1,
70114,6/21/2017,25,FW1,
70115,6/21/2017,25,FW1,
70116,6/21/2017,25,FW1,
70117,6/21/2017,25,FW1,
70118,6/21/2017,25,FW1,
70119,6/21/2017,25,FW1,
70120,6/21/2017,25,FW1,
70121,6/21/2017,25,FW1,
70122,6/21/2017,25,FW1,
70123,6/21/2017,25,FW1,
70124,6/22/2017,25,FW1,
70125,6/22/2017,25,FW1,
70126,6/22/2017,25,FW1,
70127,6/22/2017,25,FW1,
70128,6/22/2017,25,FW1,
70129,6/22/2017,25,FW1,
70130,6/22/2017,25,FW1,
70131,6/22/2017,25,FW1,
70132,6/22/2017,25,FW1,
70133,6/22/2017,25,FW1,
70134,6/22/2017,25,FW1,
70135,6/22/2017,25,FW1,
70136,6/22/2017,25,FW1,
70137,6/22/2017,25,FW1,
70138,6/22/2017,25,FW1,
70139,6/22/2017,25,FW1,
70140,6/22/2017,25,FW1,
70141,6/22/2017,25,FW1,
70142,6/22/2017,25,FW1,
70143,6/22/2017,25,FW1,
70144,6/23/2017,25,FW1,
70145,6/23/2017,25,FW1,
70146,6/23/2017,25,FW1,
70147,6/23/2017,25,FW1,
70148,6/23/2017,25,FW1,
70149,6/23/2017,25,FW1,
70150,6/23/2017,25,FW1,
70151,6/23/2017,25,FW1,
70152,6/23/2017,25,FW1,
70153,6/23/2017,25,FW1,
70154,6/23/2017,25,FW1,
70155,6/23/2017,25,FW1,
70156,6/23/2017,25,FW1,
70157,6/23/2017,25,FW1,
70159,6/24/2017,25,FW1,
70160,6/24/2017,25,FW1,
70161,6/24/2017,25,FW1,
70162,6/24/2017,25,FW1,
70163,6/24/2017,25,FW1,
70164,6/24/2017,25,FW1,
70165,6/24/2017,25,FW1,
70166,6/24/2017,25,FW1,
70167,6/24/2017,25,FW1,
70168,6/24/2017,25,FW1,
70169,6/24/2017,25,FW1,
70170,6/24/2017,25,FW1,Radio Tagged
70171,6/24/2017,25,FW1,
70172,6/24/2017,25,FW1,
70173,6/24/2017,25,FW1,
70174,6/24/2017,25,FW1,
70175,6/24/2017,25,FW1,
70176,6/24/2017,25,FW1,
70177,6/24/2017,25,FW1,
70178,6/24/2017,25,FW1,
70179,6/24/2017,25,FW1,
70181,6/25/2017,26,FW1,
70182,6/25/2017,26,FW1,
70183,6/25/2017,26,FW1,
70184,6/25/2017,26,FW1,
70185,6/25/2017,26,FW1,
70186,6/25/2017,26,FW1,
70187,6/25/2017,26,FW1,
70188,6/25/2017,26,FW1,Radio Tagged
70189,6/25/2017,26,FW1,
70190,6/25/2017,26,FW1,
70191,6/25/2017,26,FW1,
70192,6/25/2017,26,FW1,
70193,6/25/2017,26,FW1,
70194,6/25/2017,26,FW1,
70195,6/25/2017,26,FW1,
70196,6/25/2017,26,FW1,
70197,6/25/2017,26,FW1,
70198,6/25/2017,26,FW1,
70199,6/25/2017,26,FW1,
70200,6/25/2017,26,FW1,
70201,6/25/2017,26,FW1,
70202,6/25/2017,26,FW1,
70203,6/25/2017,26,FW1,
70204,6/25/2017,26,FW1,
70205,6/25/2017,26,FW1,
70206,6/25/2017,26,FW1,
70207,6/25/2017,26,FW1,
70208,6/25/2017,26,FW1,
70209,6/25/2017,26,FW1,
70210,6/25/2017,26,FW1,
70211,6/26/2017,26,FW1,
70212,6/26/2017,26,FW1,
70213,6/26/2017,26,FW1,
70214,6/26/2017,26,FW1,
70215,6/26/2017,26,FW1,
70216,6/26/2017,26,FW1,
70217,6/26/2017,26,FW1,
70218,6/26/2017,26,FW1,
70219,6/26/2017,26,FW1,
70220,6/26/2017,26,FW1,
70221,6/26/2017,26,FW1,
70222,6/26/2017,26,FW1,
70223,6/26/2017,26,FW1,
70224,6/26/2017,26,FW1,
70225,6/26/2017,26,FW1,
70226,6/26/2017,26,FW1,
70227,6/26/2017,26,FW1,
70228,6/26/2017,26,FW1,
70229,6/26/2017,26,FW1,
70230,6/26/2017,26,FW1,
70231,6/27/2017,26,FW1,
70232,6/27/2017,26,FW1,
70233,6/27/2017,26,FW1,
70234,6/27/2017,26,FW1,
70235,6/27/2017,26,FW1,
70236,6/27/2017,26,FW1,
70237,6/27/2017,26,FW1,
70238,6/27/2017,26,FW1,
70239,6/27/2017,26,FW1,
70240,6/27/2017,26,FW1,
70241,6/27/2017,26,FW1,
70242,6/27/2017,26,FW1,Radio Tagged
70243,6/27/2017,26,FW1,
70244,6/27/2017,26,FW1,
70245,6/27/2017,26,FW1,
70246,6/27/2017,26,FW1,
70247,6/27/2017,26,FW1,
70248,6/27/2017,26,FW1,
70249,6/27/2017,26,FW1,
70250,6/27/2017,26,FW1,
70251,6/27/2017,26,FW1,
70252,6/27/2017,26,FW1,
70253,6/27/2017,26,FW1,
70254,6/27/2017,26,FW1,
70255,6/27/2017,26,FW1,
70256,6/27/2017,26,FW1,
70257,6/27/2017,26,FW1,
70258,6/27/2017,26,FW1,
70259,6/28/2017,26,FW1,
